,date_local,arithmetic_mean_gaseous,first_max_value_gaseous,first_max_hour_gaseous,aqi_gaseous,arithmetic_mean_particle,first_max_value_particle,first_max_hour_particle,aqi_particle,AQI,date_year
86,1991-07-11,,,,,19.0,19.0,0.0,18.0,18.0,1991
87,1991-07-17,,,,,21.0,21.0,0.0,19.0,19.0,1991
88,1991-07-23,,,,,17.0,17.0,0.0,16.0,16.0,1991
89,1991-07-29,,,,,16.0,16.0,0.0,15.0,15.0,1991
90,1991-08-04,,,,,13.0,13.0,0.0,12.0,12.0,1991
91,1991-08-10,,,,,14.0,14.0,0.0,13.0,13.0,1991
92,1991-08-16,,,,,12.0,12.0,0.0,11.0,11.0,1991
93,1991-08-22,,,,,23.0,23.0,0.0,21.0,21.0,1991
94,1991-08-28,,,,,19.0,19.0,0.0,18.0,18.0,1991
95,1991-09-03,,,,,16.0,16.0,0.0,15.0,15.0,1991
96,1991-09-09,,,,,13.0,13.0,0.0,12.0,12.0,1991
97,1991-09-15,,,,,13.0,13.0,0.0,12.0,12.0,1991
98,1991-09-21,,,,,15.0,15.0,0.0,14.0,14.0,1991
99,1991-09-27,,,,,25.0,25.0,0.0,23.0,23.0,1991
100,1991-10-03,,,,,16.0,16.0,0.0,15.0,15.0,1991
101,1991-10-09,,,,,25.0,25.0,0.0,23.0,23.0,1991
102,1991-10-15,,,,,25.0,25.0,0.0,23.0,23.0,1991
103,1991-10-21,,,,,21.0,21.0,0.0,19.0,19.0,1991
104,1991-10-27,,,,,7.0,7.0,0.0,6.0,6.0,1991
105,1991-11-02,,,,,10.0,10.0,0.0,9.0,9.0,1991
106,1991-11-08,,,,,16.0,16.0,0.0,15.0,15.0,1991
107,1991-11-14,,,,,12.0,12.0,0.0,11.0,11.0,1991
108,1991-11-20,,,,,12.0,12.0,0.0,11.0,11.0,1991
109,1991-11-26,,,,,21.0,21.0,0.0,19.0,19.0,1991
110,1991-12-02,,,,,26.0,26.0,0.0,24.0,24.0,1991
111,1991-12-08,,,,,15.0,15.0,0.0,14.0,14.0,1991
112,1991-12-14,,,,,10.0,10.0,0.0,9.0,9.0,1991
113,1991-12-20,,,,,91.0,91.0,0.0,69.0,69.0,1991
114,1991-12-26,,,,,8.0,8.0,0.0,7.0,7.0,1991
